title,location,price(L),rate_persqft,area_insqft,building_status
2 BHK Apartment,Pragathi Nagar Kukatpally,55.0,5238,1050,Ready to move
3 BHK Apartment,Bowenpally,100.0,6104,1640,Under Construction
3 BHK Apartment,Kondapur,125.0,7777,1615,Under Construction
1 BHK Apartment,Old Bowenpally,54.75,6257,875,Under Construction
3 BHK Apartment,Kukatpally,114.0,6881,1661,Under Construction
3 BHK Apartment,Kukatpally,119.0,7607,1575,Under Construction
2 BHK Apartment,Pragathi Nagar Kukatpally,77.0,5923,1300,Ready to move
3 BHK Apartment,Patancheru,84.38,5099,1655,Under Construction
2 BHK Apartment,Patancheru,66.28,5099,1300,Under Construction
Residential Plot,Maheshwaram,96.01,2667,3600,New
Residential Plot,Maheshwaram,48.0,2667,1800,New
Residential Plot,Maheshwaram,36.0,2667,1350,New
Residential Plot,Maheshwaram,52.8,2667,1980,New
Residential Plot,Maheshwaram,43.2,2667,1620,New
Residential Plot,Maheshwaram,40.8,2667,1530,New
2 BHK Apartment,Kapra,67.0,5583,1200,Ready to move
7 BHK Independent House,Suchitra,200.0,5000,4000,Under Construction
3 BHK Apartment,Kondapur,139.0,8799,1585,Under Construction
3 BHK Apartment,Kapra,89.0,5562,1600,Ready to move
2 BHK Apartment,Lb Nagar,65.0,5555,1170,Ready to move
3 BHK Apartment,Kothapet,105.0,6521,1610,Ready to move
2 BHK Apartment,Dilsukh Nagar,59.0,5175,1140,Ready to move
2 BHK Apartment,Lb Nagar,49.0,6049,810,Ready to move
3 BHK Apartment,Kothapet,130.0,6190,2100,Ready to move
5 BHK Independent House,Quthbullapur,175.0,5833,3000,Ready to move
Residential Plot,Patancheru,56.0,3111,1800,Resale
4 BHK Villa,Kokapet,798.0,19000,4200,Ready to move
Residential Plot,Taramatipet,79.99,2222,3600,New
Residential Plot,Taramatipet,79.99,2222,3600,New
Residential Plot,Taramatipet,39.99,2222,1800,New
Residential Plot,Taramatipet,39.99,2222,1800,New
Residential Plot,Taramatipet,33.39,2222,1503,New
Residential Plot,Taramatipet,33.39,2222,1503,New
Residential Plot,Taramatipet,36.59,2222,1647,New
Residential Plot,Taramatipet,36.59,2222,1647,New
Residential Plot,Taramatipet,66.59,2222,2997,New
Residential Plot,Taramatipet,66.59,2222,2997,New
3 BHK Apartment,Bachupally,78.21,5500,1422,Under Construction
3 BHK Apartment,Bachupally,85.1,5599,1520,Under Construction
3 BHK Apartment,Bachupally,80.62,5599,1440,Under Construction
2 BHK Apartment,Bachupally,66.34,5599,1185,Under Construction
2 BHK Apartment,Bachupally,64.94,5599,1160,Under Construction
2 BHK Apartment,Bachupally,64.38,5599,1150,Ready to move
3 BHK Apartment,Bachupally,76.17,5500,1385,Under Construction
2 BHK Apartment,Mallampet,59.86,4100,1460,Under Construction
3 BHK Apartment,Mallampet,101.0,5399,1885,Under Construction
2 BHK Apartment,Mallampet,77.36,5299,1460,Under Construction
3 BHK Apartment,Puppalaguda,246.0,9913,2490,Under Construction
4 BHK Apartment,Puppalaguda,386.0,11016,3510,Under Construction
3 BHK Apartment,Puppalaguda,190.0,9888,1925,Under Construction
3 BHK Apartment,Puppalaguda,172.0,9982,1725,Under Construction
4 BHK Apartment,Kokapet,374.0,8250,4540,Under Construction
4 BHK Apartment,Manikonda,414.0,9399,4410,Under Construction
3 BHK Apartment,Manikonda,241.0,9399,2565,Under Construction
3 BHK Apartment,Manikonda,315.0,9399,3360,Under Construction
3 BHK Apartment,Manikonda,282.0,9399,3010,Under Construction
Residential Plot,Sadashivpet,63.0,2000,3150,New
Residential Plot,Sadashivpet,99.81,2000,4991,New
Residential Plot,Sadashivpet,84.31,2000,4216,New
Residential Plot,Sadashivpet,63.75,2000,3188,New
Residential Plot,Sadashivpet,363.0,2000,18181,New
Residential Plot,Sadashivpet,32.07,2001,1604,New
Residential Plot,Sadashivpet,71.07,2000,3554,New
Residential Plot,Sadashivpet,72.0,2000,3600,New
Residential Plot,Sadashivpet,54.0,2000,2700,New
Residential Plot,Sadashivpet,120.0,2000,6032,New
Residential Plot,Sadashivpet,60.0,2000,3000,New
Residential Plot,Chevella,360.0,2066,17424,New
Residential Plot,Chevella,120.0,550,21780,New
Residential Plot,Chevella,60.0,688,8712,New
Residential Plot,Alair,9.0,666,1350,New
Residential Plot,Sadashivpet,36.0,2000,1800,New
3 BHK Apartment,Narsingi,100.0,6500,1550,Ready to move
3 BHK Apartment,Narsingi,100.0,6479,1555,Ready to move
2 BHK Apartment,Aminpur,60.0,4800,1250,Under Construction
3 BHK Apartment,Chandanagar,121.0,6700,1815,Under Construction
3 BHK Apartment,Hyder Nagar,122.0,7899,1548,Under Construction
3 BHK Apartment,Chandanagar,135.0,6700,2020,Under Construction
2 BHK Apartment,Kukatpally,105.0,7606,1382,Under Construction
1 BHK Apartment,Bowenpally,54.75,6257,875,Under Construction
3 BHK Apartment,Old Bowenpally,109.0,6077,1800,Under Construction
3 BHK Apartment,Nizampet,68.75,5000,1375,Ready to move
2 BHK Apartment,Nizampet,59.25,5000,1185,Ready to move
2 BHK Apartment,Nizampet,56.0,5000,1120,Ready to move
2 BHK Apartment,Nizampet,52.5,5000,1050,Ready to move
3 BHK Apartment,Nizampet,71.0,5000,1420,Ready to move
2 BHK Apartment,Nizampet,50.75,5000,1015,Ready to move
3 BHK Apartment,Peerzadiguda,66.11,4826,1370,Under Construction
2 BHK Apartment,Peerzadiguda,53.56,4826,1110,Under Construction
2 BHK Apartment,Peerzadiguda,56.7,4826,1175,Under Construction
3 BHK Apartment,Peerzadiguda,66.35,4826,1375,Under Construction
3 BHK Apartment,Peerzadiguda,66.84,4826,1385,Under Construction
2 BHK Apartment,Peerzadiguda,60.27,4826,1249,Under Construction
3 BHK Apartment,Peerzadiguda,65.63,4826,1360,Under Construction
3 BHK Apartment,Peerzadiguda,64.62,4826,1339,Under Construction
3 BHK Apartment,Peerzadiguda,67.9,4826,1407,Under Construction
2 BHK Apartment,Peerzadiguda,58.78,4826,1218,Under Construction
3 BHK Apartment,Peerzadiguda,65.19,4826,1351,Under Construction
3 BHK Apartment,Peerzadiguda,60.8,4826,1260,Under Construction
2 BHK Apartment,Peerzadiguda,57.42,4826,1190,Under Construction
3 BHK Apartment,Peerzadiguda,76.97,4826,1595,Under Construction
3 BHK Apartment,Peerzadiguda,76.92,4826,1594,Under Construction
2 BHK Apartment,Peerzadiguda,54.82,4826,1136,Under Construction
3 BHK Apartment,Kothapet,75.0,5084,1475,Ready to move
3 BHK Apartment,Habsiguda,139.0,7942,1750,Ready to move
Residential Plot,Sultanpur,75.0,2777,2700,Resale
Residential Plot,Chandanagar,264.0,8888,2970,Resale
Residential Plot,Ghatkesar,21.84,1444,1512,New
Residential Plot,Ghatkesar,22.1,13000,170,New
Residential Plot,Polepalle,31.5,1000,3150,New
Residential Plot,Polepalle,36.0,1000,3600,New
Residential Plot,Polepalle,16.02,1000,1602,New
Residential Plot,Polepalle,27.0,1000,2700,New
Residential Plot,Polepalle,14.85,1000,1485,New
Residential Plot,Polepalle,18.9,1000,1890,New
Residential Plot,Polepalle,22.5,1000,2250,New
Residential Plot,Polepalle,14.22,1000,1422,New
Residential Plot,Polepalle,13.23,1000,1323,New
Residential Plot,Polepalle,17.28,1000,1728,New
3 BHK Apartment,Nanakramguda,282.0,9401,3010,Under Construction
3 BHK Apartment,Nanakramguda,241.0,9400,2565,Under Construction
3 BHK Apartment,Kukatpally,109.0,7700,1425,Ready to move
2 BHK Apartment,Kukatpally,100.0,7700,1300,Ready to move
2 BHK Apartment,Kukatpally,95.09,7700,1235,Ready to move
3 BHK Apartment,Kukatpally,123.0,7700,1600,Ready to move
3 BHK Apartment,Kukatpally,115.0,7700,1500,Ready to move
2 BHK Apartment,Kukatpally,92.4,7700,1200,Ready to move
3 BHK Apartment,Narsingi,215.0,10643,2020,Under Construction
3 BHK Apartment,Kondapur,208.0,10000,2080,Ready to move
3 BHK Apartment,Bachupally,85.0,5466,1555,Ready to move
4 BHK Villa,Medchal,553.0,11969,4620,Ready to move
3 BHK Villa,Ghatkesar,118.0,6053,1950,Under Construction
2 BHK Apartment,Bachupally,53.9,4900,1100,Under Construction
2 BHK Apartment,Bachupally,49.0,4900,1000,Under Construction
2 BHK Apartment,Mallampet,71.55,5300,1350,Under Construction
