,price(L)
774,141.0
329,200.0
2054,11.65
2001,72.0
943,84.0
822,1084.0
909,26.4
181,40.5
164,68.0
1523,113.0
451,70.0
1311,61.0
1111,111.0
3028,160.0
1287,94.0
327,40.8
1790,16.6
3235,22.95
2007,144.0
1858,91.56
312,75.0
832,2255.0
1201,576.0
2813,80.0
2649,25.17
2134,68.99
2209,80.97
2822,155.0
1481,86.07
777,128.0
799,23.09
54,57.83
1920,11.39
3145,20.7
2627,16.7
1701,65.3
2161,112.0
3423,190.0
987,86.05
2624,119.0
1394,112.0
768,138.0
3232,32.4
285,39.6
3213,27.0
428,22.5
2332,110.0
2079,22.31
722,51.66
951,195.0
2262,75.63
989,107.0
3406,95.0
2473,16.5
326,43.2
1383,98.25
1724,65.0
1086,108.0
341,79.99
147,41.9
2843,25.0
1107,264.0
848,97.0
966,153.0
2993,55.18
2203,111.0
661,120.0
1002,78.58
2845,47.99
3061,240.0
3405,160.0
3301,26.93
1879,20.04
3436,95.0
1203,39.0
1990,17.38
24,166.0
3428,270.0
2548,33.06
3478,10.0
2798,21.61
875,87.0
3282,17.16
938,90.28
2394,36.79
3047,176.0
3623,46.2
385,100.0
2792,38.41
3048,298.0
3442,3.0
2291,84.56
2545,23.27
936,90.28
3139,33.6
2360,341.0
3564,34.0
1332,5.4
1934,124.0
935,81.37
2418,38.0
566,65.0
1854,25.99
2946,33.3
2467,30.25
1645,63.78
2585,35.27
1792,14.56
1430,22.0
2820,150.0
1013,76.26
1928,34.56
2741,65.0
126,78.0
2629,2.5
1347,14.02
355,64.38
827,267.0
1639,31.52
984,118.0
2188,722.0
3102,57.48
2443,44.0
362,190.0
2349,53.4
345,33.39
2510,37.37
3093,57.48
711,408.0
2513,31.07
10,104.0
2935,27.99
2116,250.0
1834,158.0
793,24.19
3371,36.0
94,108.0
129,90.0
2371,29.99
2727,56.0
3541,60.0
2263,86.52
1900,56.0
2671,11.75
3364,18.0
1932,91.99
2991,55.18
1865,22.79
1658,63.8
516,66.95
1857,71.23
2243,78.65
1277,55.0
3526,26.46
950,101.0
1120,100.0
2204,68.73
419,264.0
922,65.34
2683,14.63
477,107.0
2035,14.51
2656,54.0
1692,4.1
2697,14.15
1471,64.56
1202,91.59
2438,10.8
1669,21.31
3628,19.21
1970,15.63
2151,160.0
820,128.0
1997,20.23
3497,49.0
1248,60.0
2679,15.51
3241,24.69
2190,94.33
3484,69.0
1046,76.71
1888,240.0
2469,10.27
615,89.23
1318,227.0
3517,605.0
3554,290.0
3568,26.58
2136,55.19
2988,51.36
1772,11.53
3598,150.0
131,265.0
77,154.0
2052,11.65
724,260.0
1314,55.0
1851,43.99
3561,45.0
2794,17.0
3020,160.0
1372,138.0
1855,165.0
1319,143.0
2560,22.54
3504,93.7
2647,8.32
375,71.07
1908,11.32
333,105.0
2746,92.01
2800,101.0
2365,27.0
1604,38.0
1118,275.0
3451,64.0
1943,27.0
2832,82.0
2376,31.07
3066,160.0
1342,18.03
320,84.38
1619,62.33
2970,33.3
2060,31.58
2219,92.7
1673,28.99
1942,23.62
260,100.0
2858,54.0
2039,156.0
689,147.0
901,60.39
2306,53.55
2026,14.52
138,130.0
1917,97.96
1828,75.38
1573,66.59
319,77.0
653,89.75
2137,75.9
2821,145.0
558,73.29
2187,722.0
112,38.0
531,249.00000000000003
224,16.45
723,48.93
2949,22.0
3127,25.09
1433,22.0
2373,27.99
2891,75.0
2913,116.0
1458,62.0
3290,35.0
846,181.0
193,300.0
1464,383.0
2621,287.0
946,98.28
2021,4.83
2551,17.0
1629,60.8
117,590.0
645,89.75
1870,58.56
3,60.48
74,113.0
1755,231.0
467,71.11
5,124.0
1246,131.0
919,26.0
2595,12.49
228,29.99
1063,85.9
2590,25.22
242,107.0
2775,17.68
1160,160.0
3058,160.0
2722,10.0
2563,48.36
1526,141.0
1605,38.0
3397,60.0
3631,28.99
2828,150.0
3096,736.0
1989,17.11
2856,15.5
2362,26.96
1975,10.82
1761,31.08
1305,129.0
1541,22.0
3644,49.0
2472,9.99
2642,48.36
622,33.39
2812,90.0
1493,24.0
110,135.0
2275,80.96
2759,37.5
1169,83.2
2989,51.36
232,24.99
66,108.0
3297,14.38
2072,31.24
2192,94.33
536,132.0
125,28.0
2133,78.19
1254,150.0
3018,54.05
1976,16.37
2990,51.75
2826,150.0
2075,18.23
484,225.0
1654,230.0
3260,25.05
2760,83.98
2922,13.19
1774,13.46
2410,26.0
918,24.0
1646,66.98
1026,85.64
1030,85.99
882,341.0
1335,32.0
2707,32.5
364,374.0
2125,56.24
27,64.24
473,111.0
525,86.62
725,77.0
55,53.9
638,91.59
302,20.13
3177,20.04
1276,67.0
3209,28.0
624,36.59
2055,15.68
1280,144.0
1049,79.41
336,130.0
47,78.41
106,260.0
2397,25.99
1079,94.21
2286,78.5
2261,56.48
1144,64.96
3223,25.36
2296,1800.0
1836,55.18
1753,25.2
1101,510.0
1968,15.82
2766,22.78
3344,17.88
523,54.98
2280,64.53
2692,17.11
1428,22.0
2581,34.15
